,0,1,2,3,4,5,6
PWY-4984,0.24050543552352552,0.0,1.779528928522368,0.0,0.0,0.0,0.04746851286860874
PWY-5004,0.01816713170418695,0.004786289731933981,0.0,0.0,0.0,0.0,0.00013805491539128242
PWY-5005,0.15985965385053866,0.010976780298146508,0.11220898700777217,0.029388237488704522,0.28628203589525003,0.05113936320093374,0.002637286761350619
PWY-5022,0.08998743835586223,0.24127595706214178,0.08790008304650095,0.0,0.05582500731259065,0.0,0.04196388148841943
PWY-5028,0.0,0.03538149002160588,0.0,0.0,0.0341289537244836,0.0,0.0
PWY-5030,0.10278614414258029,0.0,2.385366009274484,0.0,0.0,0.0,3.486789924252641e-08
PWY-5044,0.0,0.0,0.0,0.0,0.001297452547771596,0.0,0.0
PWY-5055,2.054735826404056e-11,7.031617097763427e-05,0.0,0.0,0.000298169364679673,0.0,0.0002181656024200785
PWY-5067,0.0,0.0,0.0,0.0,8.652564387319055e-05,0.0,0.0
PWY-5079,0.0,0.0,0.0,0.0,0.0002854132721218137,0.0,0.0
PWY-5080,0.0,0.0,0.0,0.0,0.0033696753438259707,0.0,0.0
PWY-5081,0.0,0.0,0.0,0.0,2.7302604839062126e-05,0.0,0.0
PWY-5083,0.0,0.9260015990529441,0.3211551655280915,0.00046618562585708955,1.9917818327238288e-14,0.0075890230101217804,0.00241375103668138
PWY-5088,0.001670993735472008,0.046758694622176224,0.0,0.0,0.003269028169341007,0.0,0.0
PWY-5097,3.418989253231853,0.28960840027093926,0.890763480569781,2.251891800954891,0.0042008259104301575,2.806536699873743,0.2165232462404647
PWY-5100,1.0580991465660012,0.3605592015075976,0.0,1.6126560704295625,0.7697650715937434,1.5674104548321803e-13,2.17627147616154
PWY-5101,0.031618955223532634,0.0,0.0,0.0,0.11004680590004137,0.0,0.07498394960468577
PWY-5103,2.988931684666093,0.6843823295716556,0.14659263157169675,2.5830295542189385,1.205315155139124e-05,3.562178153019732,0.8672419211719878
PWY-5104,0.530769963615181,0.651466715747678,0.0,0.0453538958164706,0.38775904059077115,0.13816980948068686,1.5486657388945182
PWY-5109,0.0,0.0,0.0,0.0,0.000923907837079733,0.0,0.0
PWY-5121,6.587755464314783e-10,0.0017012748107309496,0.043979063910211634,1.0167890416246728,0.0,0.0,0.23728641033768716
PWY-5129,0.0,0.0,0.0,0.0,3.875367789357297e-05,0.0,0.0
PWY-5136,0.0021594962275252095,0.998351898111627,0.08229835523411386,0.0019024319584423801,0.0,0.003135971998626759,0.17277234300664865
PWY-5138,0.0,0.4981916440356829,0.07802566067699088,0.0,0.12202186457219225,0.0,0.016199238405926606
PWY-5154,1.2722393046845009,0.8022682639226325,1.155239822807801,0.1337325141182591,1.4931282698723798e-10,1.3753439806977825,0.0
PWY-5156,0.0,5.335207123836122e-10,0.0,0.010135758832653524,0.014378267966400538,0.0,0.0
PWY-5173,0.0,0.6500826404222199,0.0,0.03999084607935597,0.4542066521017857,0.0,0.0
PWY-5177,0.6513653064527425,0.44118134965655365,7.305602788459296e-11,0.0,0.0,1.9944633892435092e-14,0.5509147666650815
PWY-5178,0.0,0.011463602760372029,0.0,0.0,3.1151351737395514e-15,0.0,0.0
PWY-5180,0.0,0.14884364404031283,0.0,0.0,0.005086156087718054,0.0,0.0
PWY-5181,0.0,0.09022469916972334,0.0,0.0,0.0,0.0,0.0
PWY-5182,0.0,0.14886272706014866,0.0,0.0,0.005102041540862151,0.0,0.0
PWY-5183,0.0,0.0005343756294291207,0.0,0.0,0.0011260802112235976,0.0,0.0
PWY-5188,0.7549279999326028,0.606524952442323,0.0,3.8270904114449933e-14,0.3479668335306603,0.00011217600710984324,1.2778116081033961
PWY-5189,0.009435160771652542,0.4690956600538252,0.0,0.0028051210222882757,0.2637382988990928,0.0012381248134729285,0.04250913105837167
PWY-5198,0.0,0.0,0.0,0.0,0.0,0.0,0.046610774055289204
PWY-5265,0.0,0.0014649623326933989,0.0,0.076481869822862,1.162975403194872,0.0,0.010627459095235249
PWY-5304,0.11685448270041668,0.0,0.0,0.0,0.0,0.004323677992319667,0.3892334297075869
PWY-5306,0.0,0.0,0.0,0.0,0.00012424032572474981,0.0,7.795308874677815e-05
PWY-5345,0.17771417295405753,0.9268222759024727,0.0,0.1352868327437189,0.24434030733950587,0.13514954682060792,0.13095602191138966
PWY-5347,0.01315942769939029,1.2474758681675433,0.20110858162854459,0.6381692151169222,0.38289069666581926,0.06090471876640847,1.3376392194437254
PWY-5367,0.0,0.24933827977052436,0.0,4.309139881757912e-09,0.4231990033835255,7.730670372949764e-09,0.12236643466199505
PWY-5381,0.0,0.0,0.0,0.0,7.242148063270043e-05,0.0,0.0
PWY-5384,0.015758730238598914,0.5525971820942549,0.01125863931497475,1.5570670328968172,0.1407811750191793,0.0,0.026070930254059554
PWY-5392,0.002633113365348019,0.026478375117453407,5.357027175776273e-16,0.0,0.000542517451190546,0.0,0.00027486792458085603
PWY-5415,0.0,0.019780085414565027,0.0,0.0001193044633476308,0.03680499974506158,0.0,0.0
PWY-5417,0.0,0.0848783846575551,0.0,0.0,0.0,0.0,0.0
PWY-5419,0.0,9.336120586678802e-05,0.0,0.00011934432790428321,0.00021901853976253946,0.0,0.0
PWY-5420,0.0,0.0001789670364049711,0.0,0.00018369475842248812,0.000260586521578902,0.0,0.0
