Superclass1	Superclass2	pathway
PWY-7224	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	purine deoxyribonucleosides salvage
PWY-7228	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of guanosine nucleotides de novo biosynthesis I
PWY-7229	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of adenosine nucleotides de novo biosynthesis I
PWY-7234	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	inosine-5'-phosphate biosynthesis III
PWY-7235	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of ubiquinol-6 biosynthesis (late decarboxylation)
PWY-7237	Degradation/Utilization/Assimilation	Cyclitol Degradation	myo-, chiro- and scyllo-inositol degradation
PWY-7238	Biosynthesis	Carbohydrate Biosynthesis	sucrose biosynthesis II
PWY-724	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II
PWY-7242	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation&&Carbohydrate Degradation	D-fructuronate degradation
PWY-7245	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)
PWY-7254	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle VII (acetate-producers)
PWY-7255	Biosynthesis	Secondary Metabolite Biosynthesis	ergothioneine biosynthesis I (bacteria)
PWY-7268	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	cytosolic NADPH production (yeast)
PWY-7269	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	mitochondrial NADPH production (yeast)
PWY-7270	Biosynthesis	Amino Acid Biosynthesis	L-methionine salvage cycle II (plants)
PWY-7277	Biosynthesis	Fatty Acid and Lipid Biosynthesis	sphingolipid biosynthesis (mammals)
PWY-7279	Generation of Precursor Metabolites and Energy	Electron Transfer Chains&&Respiration	aerobic respiration II (cytochrome c) (yeast)
PWY-7282	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II
PWY-7283	Macromolecule Modification	Nucleic Acid Processing	wybutosine biosynthesis
PWY-7286	Macromolecule Modification	Nucleic Acid Processing	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
PWY-7288	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &beta;-oxidation VII (yeast peroxisome)
PWY-7290	Biosynthesis&&Glycan Pathways	Cell Structure Biosynthesis&&Carbohydrate Biosynthesis	Escherichia coli serotype O86 O-antigen biosynthesis
PWY-7294	Degradation/Utilization/Assimilation	Carbohydrate Degradation	D-xylose degradation IV
PWY-7295	Degradation/Utilization/Assimilation	Carbohydrate Degradation	L-arabinose degradation IV
PWY-7312	Biosynthesis	Carbohydrate Biosynthesis	dTDP-&beta;-D-fucofuranose biosynthesis
PWY-7315	Biosynthesis	Carbohydrate Biosynthesis	dTDP-N-acetylthomosamine biosynthesis
PWY-7316	Biosynthesis	Carbohydrate Biosynthesis	dTDP-N-acetylviosamine biosynthesis
PWY-7317	Biosynthesis	Carbohydrate Biosynthesis	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7323	Biosynthesis	Carbohydrate Biosynthesis	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis
PWY-7328	Biosynthesis	Carbohydrate Biosynthesis	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7332	Biosynthesis	Carbohydrate Biosynthesis	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis
PWY-7337	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	10-cis-heptadecenoyl-CoA degradation (yeast)
PWY-7338	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)
PWY-7345	Degradation/Utilization/Assimilation	Carbohydrate Degradation	superpathway of anaerobic sucrose degradation
PWY-7347	Biosynthesis	Carbohydrate Biosynthesis	sucrose biosynthesis III
PWY-7357	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)
PWY-7371	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	1,4-dihydroxy-6-naphthoate biosynthesis II
PWY-7373	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of demethylmenaquinol-6 biosynthesis II
PWY-7374	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	1,4-dihydroxy-6-naphthoate biosynthesis I
PWY-7376	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)
PWY-7377	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)
PWY-7383	Generation of Precursor Metabolites and Energy	Fermentation	anaerobic energy metabolism (invertebrates, cytosol)
PWY-7384	Generation of Precursor Metabolites and Energy	Fermentation	anaerobic energy metabolism (invertebrates, mitochondrial)
PWY-7385	Generation of Precursor Metabolites and Energy	Fermentation	1,3-propanediol biosynthesis (engineered)
PWY-7388	Biosynthesis	Fatty Acid and Lipid Biosynthesis	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
PWY-7389	Generation of Precursor Metabolites and Energy	Fermentation	superpathway of anaerobic energy metabolism (invertebrates)
PWY-7391	Biosynthesis	Secondary Metabolite Biosynthesis	isoprene biosynthesis II (engineered)
PWY-7392	Biosynthesis	Secondary Metabolite Biosynthesis	taxadiene biosynthesis (engineered)
PWY-7397	Biosynthesis	Aromatic Compound Biosynthesis	naringenin biosynthesis (engineered)
PWY-7399	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	methylphosphonate degradation II
PWY-7400	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis IV (archaebacteria)
PWY-7409	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY-7411	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidate biosynthesis (yeast)
PWY-7413	Biosynthesis	Carbohydrate Biosynthesis	dTDP-6-deoxy-&alpha;-D-allose biosynthesis
PWY-7420	Biosynthesis	Fatty Acid and Lipid Biosynthesis	monoacylglycerol metabolism (yeast)
PWY-7426	Biosynthesis&&Macromolecule Modification&&Glycan Pathways	Carbohydrate Biosynthesis&&Protein Modification	complex N-linked glycan biosynthesis (vertebrates)
PWY-7431	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	aromatic biogenic amine degradation (bacteria)
PWY-7433	Biosynthesis&&Macromolecule Modification&&Glycan Pathways	Carbohydrate Biosynthesis&&Protein Modification	mucin core 1 and core 2 O-glycosylation
PWY-7434	Biosynthesis&&Macromolecule Modification&&Glycan Pathways	Carbohydrate Biosynthesis&&Protein Modification	terminal O-glycans residues modification (via type 2 precursor disaccharide)
PWY-7446	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	sulfoquinovose degradation I
PWY-7456	Degradation/Utilization/Assimilation&&Glycan Pathways	Carbohydrate Degradation&&Polymeric Compound Degradation	&beta;-(1,4)-mannan degradation
PWY-7511	Macromolecule Modification	Protein Modification	protein ubiquitination
PWY-7527	Biosynthesis	Amino Acid Biosynthesis	L-methionine salvage cycle III
PWY-7528	Biosynthesis	Amino Acid Biosynthesis	L-methionine salvage cycle I (bacteria and plants)
PWY-7539	Biosynthesis	Other Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)
PWY-7546	Biosynthesis	Amino Acid Biosynthesis	diphthamide biosynthesis II (eukaryotes)
PWY-7560	Biosynthesis	Secondary Metabolite Biosynthesis	methylerythritol phosphate pathway II
PWY-7562	Degradation/Utilization/Assimilation	Carbohydrate Degradation	3,6-anhydro-&alpha;-L-galactopyranose degradation
PWY-7592	Biosynthesis	Fatty Acid and Lipid Biosynthesis	arachidonate biosynthesis III (6-desaturase, mammals)
PWY-7606	Biosynthesis	Fatty Acid and Lipid Biosynthesis	docosahexaenoate biosynthesis III (6-desaturase, mammals)
PWY-7616	Degradation/Utilization/Assimilation&&Detoxification	Alcohol Degradation	methanol oxidation to carbon dioxide
PWY-7619	Biosynthesis	Fatty Acid and Lipid Biosynthesis	juniperonate biosynthesis
PWY-7626	Biosynthesis	Secondary Metabolite Biosynthesis	bacilysin biosynthesis
PWY-7663	Biosynthesis	Fatty Acid and Lipid Biosynthesis	gondoate biosynthesis (anaerobic)
PWY-7664	Biosynthesis	Fatty Acid and Lipid Biosynthesis	oleate biosynthesis IV (anaerobic)
PWY-821	Biosynthesis	Amino Acid Biosynthesis	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)
PWY-841	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of purine nucleotides de novo biosynthesis I
PWY-922	Biosynthesis	Secondary Metabolite Biosynthesis	mevalonate pathway I (eukaryotes and bacteria)
PWY0-1061	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-alanine biosynthesis
PWY0-1241	Biosynthesis	Carbohydrate Biosynthesis	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
PWY0-1261	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	anhydromuropeptides recycling I
PWY0-1277	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY0-1296	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	purine ribonucleosides degradation
PWY0-1297	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of purine deoxyribonucleosides degradation
PWY0-1298	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of pyrimidine deoxyribonucleosides degradation
PWY0-1319	Biosynthesis	Fatty Acid and Lipid Biosynthesis	CDP-diacylglycerol biosynthesis II
PWY0-1338	Biosynthesis&&Detoxification&&Glycan Pathways	Cell Structure Biosynthesis&&Antibiotic Resistance	polymyxin resistance
PWY0-1415	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Tetrapyrrole Biosynthesis	superpathway of heme b biosynthesis from uroporphyrinogen-III
PWY0-1479	Macromolecule Modification	Nucleic Acid Processing	tRNA processing
PWY0-1533	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	methylphosphonate degradation I
PWY0-1586	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan maturation (meso-diaminopimelate containing)
PWY0-162	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine ribonucleotides de novo biosynthesis
PWY0-166	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
PWY0-321	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	phenylacetate degradation I (aerobic)
PWY0-41	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	allantoin degradation IV (anaerobic)
PWY0-42	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	2-methylcitrate cycle I
PWY0-781	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	aspartate superpathway
PWY0-845	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
PWY0-862	Biosynthesis	Fatty Acid and Lipid Biosynthesis	(5Z)-dodecenoate biosynthesis I
PWY0-881	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of fatty acid biosynthesis I (E. coli)
PWY1F-823	Biosynthesis	Aromatic Compound Biosynthesis	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-FLAVSYN	Biosynthesis	Aromatic Compound Biosynthesis	flavonoid biosynthesis
PWY1G-0	Biosynthesis	Other Biosynthesis	mycothiol biosynthesis
PWY3DJ-35471	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Carboxylic Acid Biosynthesis	L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)
PWY3O-1109	Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	superpathway of 4-hydroxybenzoate biosynthesis (yeast)
PWY3O-19	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-6 biosynthesis (late decarboxylation)
PWY3O-355	Biosynthesis	Fatty Acid and Lipid Biosynthesis	stearate biosynthesis III (fungi)
PWY490-3	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	nitrate reduction VI (assimilatory)
PWY4FS-5	Biosynthesis	Secondary Metabolite Biosynthesis	superpathway of phosphatidylcholine biosynthesis
PWY4FS-7	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-8	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY4LZ-257	Generation of Precursor Metabolites and Energy	Fermentation	superpathway of fermentation (Chlamydomonas reinhardtii)
PWY5F9-12	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	biphenyl degradation
PWY66-201	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	nicotine degradation IV
PWY66-367	Generation of Precursor Metabolites and Energy	NA	ketogenesis
PWY66-373	Degradation/Utilization/Assimilation	Carbohydrate Degradation	sucrose degradation V (sucrose &alpha;-glucosidase)
PWY66-374	Biosynthesis	Hormone, Neurotransmitter, and Signaling Molecule Biosynthesis	C20 prostanoid biosynthesis
PWY66-378	Biosynthesis	Hormone, Neurotransmitter, and Signaling Molecule Biosynthesis	androgen biosynthesis
PWY66-388	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	ceramide degradation by &alpha;-oxidation
PWY66-389	Degradation/Utilization/Assimilation	Alcohol Degradation	phytol degradation
PWY66-391	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &beta;-oxidation VI (mammalian peroxisome)
PWY66-398	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle III (animals)
PWY66-399	Biosynthesis	Carbohydrate Biosynthesis	gluconeogenesis III
PWY66-400	Biosynthesis	Secondary Metabolite Biosynthesis	glycolysis VI (metazoan)
PWY66-409	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of purine nucleotide salvage
PWY66-422	Biosynthesis	Secondary Metabolite Biosynthesis	D-galactose degradation V (Leloir pathway)
PWY6666-2	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	dopamine degradation
PWYG-321	Biosynthesis	Fatty Acid and Lipid Biosynthesis	mycolate biosynthesis
PYRIDNUCSAL-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD salvage pathway I (PNC VI cycle)
PYRIDNUCSYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD de novo biosynthesis I (from aspartate)
PYRIDOXSYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	pyridoxal 5'-phosphate biosynthesis I
REDCITCYC	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle VI (Helicobacter)
RHAMCAT-PWY	Degradation/Utilization/Assimilation	Carbohydrate Degradation	L-rhamnose degradation I
RIBOSYN2-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	flavin biosynthesis I (bacteria and plants)
RUMP-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	C1 Compound Utilization and Assimilation	formaldehyde oxidation I
SALVADEHYPOX-PWY	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine nucleotides degradation II
SER-GLYSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-serine and glycine biosynthesis I
SO4ASSIM-PWY	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	assimilatory sulfate reduction I
SPHINGOLIPID-SYN-PWY	Biosynthesis	Fatty Acid and Lipid Biosynthesis	sphingolipid biosynthesis (yeast)
SUCSYN-PWY	Biosynthesis	Carbohydrate Biosynthesis	sucrose biosynthesis I (from photosynthesis)
SULFATE-CYS-PWY	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of sulfate assimilation and cysteine biosynthesis
TCA	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle I (prokaryotic)
TCA-GLYOX-BYPASS	Metabolism	TCA Cycle	superpathway of glyoxylate bypass and TCA
TEICHOICACID-PWY	Biosynthesis	Cell Structure Biosynthesis	poly(glycerol phosphate) wall teichoic acid biosynthesis
THISYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of thiamine diphosphate biosynthesis I
THISYNARA-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)
THREOCAT-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	superpathway of L-threonine metabolism
THRESYN-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-threonine biosynthesis
TRIGLSYN-PWY	Biosynthesis	Fatty Acid and Lipid Biosynthesis	diacylglycerol and triacylglycerol biosynthesis
TRNA-CHARGING-PWY	Biosynthesis	Aminoacyl-tRNA Charging	tRNA charging
TRPSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-tryptophan biosynthesis
TYRFUMCAT-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tyrosine degradation I
UBISYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of ubiquinol-8 biosynthesis (early decarboxylation)
UDPNACETYLGALSYN-PWY	Biosynthesis	Carbohydrate Biosynthesis	UDP-N-acetyl-D-glucosamine biosynthesis II
UDPNAGSYN-PWY	Biosynthesis	Carbohydrate Biosynthesis	UDP-N-acetyl-D-glucosamine biosynthesis I
URDEGR-PWY	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	superpathway of allantoin degradation in plants
URSIN-PWY	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	ureide biosynthesis
VALDEG-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-valine degradation I
VALSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-valine biosynthesis
