Superclass1	Superclass2	pathway
POLYAMSYN-PWY	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	superpathway of polyamine biosynthesis I
POLYISOPRENSYN-PWY	Biosynthesis	Polyprenyl Biosynthesis	polyisoprenoid biosynthesis (E. coli)
PPGPPMET-PWY	Biosynthesis	Metabolic Regulator Biosynthesis	ppGpp metabolism
PROPFERM-PWY	Generation of Precursor Metabolites and Energy	Fermentation	superpathway of L-alanine fermentation (Stickland reaction)
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	protocatechuate degradation II (ortho-cleavage pathway)
PRPP-PWY	Biosynthesis	Nucleotide Biosynthesis	superpathway of histidine, purine, and pyrimidine biosynthesis
PWY-101	Generation of Precursor Metabolites and Energy	Electron Transfer Chains&&Photosynthesis	photosynthesis light reactions
PWY-1042	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis IV
PWY-1269	Biosynthesis	Carbohydrate Biosynthesis	CMP-3-deoxy-D-manno-octulosonate biosynthesis
PWY-1361	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	benzoyl-CoA degradation I (aerobic)
PWY-1501	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	mandelate degradation I
PWY-1541	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of taurine degradation
PWY-1622	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	formaldehyde assimilation I (serine pathway)
PWY-181	Generation of Precursor Metabolites and Energy	Photorespiration	photorespiration
PWY-1861	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	formaldehyde assimilation II (assimilatory RuMP Cycle)
PWY-1882	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	superpathway of C1 compounds oxidation to CO2
PWY-2201	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	folate transformations I
PWY-2221	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Carbohydrate Degradation&&Entner-Doudoroff Pathways	Entner-Doudoroff pathway III (semi-phosphorylative)
PWY-241	Generation of Precursor Metabolites and Energy	Photosynthesis	C4 photosynthetic carbon assimilation cycle, NADP-ME type
PWY-2723	Degradation/Utilization/Assimilation	Carbohydrate Degradation	trehalose degradation V
PWY-2941	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis II
PWY-2942	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis III
PWY-3001	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-isoleucine biosynthesis I
PWY-3502	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of NAD biosynthesis in eukaryotes
PWY-3661	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	glycine betaine degradation I
PWY-3781	Generation of Precursor Metabolites and Energy	Electron Transfer Chains&&Respiration	aerobic respiration I (cytochrome c)
PWY-3801	Degradation/Utilization/Assimilation	Carbohydrate Degradation	sucrose degradation II (sucrose synthase)
PWY-3841	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	folate transformations II (plants)
PWY-4041	Biosynthesis	Other Biosynthesis	&gamma;-glutamyl cycle
PWY-4061	Degradation/Utilization/Assimilation&&Detoxification	Degradation/Utilization/Assimilation - Other	glutathione-mediated detoxification I
PWY-4202	Detoxification	Arsenic Compound Detoxification	arsenate detoxification I (mammalian)
PWY-4242	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	pantothenate and coenzyme A biosynthesis III
PWY-4321	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-glutamate degradation IV
PWY-4361	Biosynthesis&&Degradation/Utilization/Assimilation	Amino Acid Biosynthesis&&Nucleoside and Nucleotide Degradation	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I
PWY-4702	Degradation/Utilization/Assimilation	Cyclitol Degradation	phytate degradation I
PWY-4722	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	creatinine degradation II
