,0,1,2,3,4
Eikenella,0.0002786514798904812,0.0002423568264134305,0.0,0.0023879079234519567,0.0
Eisenbergiella,0.11154716347702875,0.0,0.00027268950010477807,0.017159303550193395,0.18722240830145195
Elizabethkingia,1.347106104481818e-06,0.0,0.0,2.533476106178375e-07,7.15887846157155e-14
Enhydrobacter,1.3417708688110482e-06,0.0005910482812397435,0.0,9.384309288168845e-05,0.0
Enorma,0.008174762906125359,1.0315010456791594e-15,0.046483067517774604,0.0,0.07158925600102156
Entamoeba,9.457762000971598e-06,0.00017205640263355792,0.0,0.0,9.561320891408697e-07
Enterobacter,5.611169831875134e-12,8.253659461450124e-05,1.397212227550064e-10,1.3645292839118448,1.01065281573395e-11
Enterococcus,0.0,0.0,0.014091129064509605,7.6728044045244905,0.0
Enterorhabdus,1.5302763421756405e-06,0.0,0.001357590319269496,2.5625078723985046e-05,0.014801641902137997
Erwinia,0.0,0.0,0.0,1.6385673181285738e-06,0.0
Erysipelatoclostridium,0.09168067252163722,0.0,0.2805132169088414,1.082237171282187,0.13832379095841754
Erysipelothrix,0.0009038978822375873,0.003741462758233,0.002337128308454398,0.003241999205939303,0.00030965190608233187
Escherichia,0.07162172505115316,0.02476085229016014,0.19199870867831623,20.741233014315874,0.0002874923282319729
Eubacteriaceae_unclassified,7.00473901313482e-06,0.0,0.0,0.0,0.0018018779253362184
Eubacterium,1.0041003326561726,0.9239714793983143,5.106273927011786e-13,0.0,14.43906515833192
Facklamia,0.0,0.0006735141986551161,6.984024736286215e-13,0.0002986987406129286,0.0
Faecalibacterium,3.913371752744265,2.6435078975880084,1.4540214516149532e-08,0.0,16.973871124493186
Faecalicatena,7.292047241733853e-06,0.0,0.0021721682467643415,0.0,0.00172239502375002
Faecalicoccus,0.0019763456809517347,8.16847841564971e-08,0.006224822967317463,0.0,0.028700644602779258
Faecalitalea,3.785135777103313e-05,6.561539512909287e-05,0.00530032435310906,0.0,0.17784548882080775
Filifactor,0.0,1.924344644783202e-05,0.0,2.9959016159714485e-05,0.0005889447697169542
Finegoldia,0.0,0.266676050607497,4.4950780432673986e-05,0.07726907361255583,0.0
Firmicutes_unclassified,0.13078617432291592,0.36127507077612114,1.566380635815258e-14,0.0,3.211431174724317
Flavobacterium,3.1432176803740946e-05,6.145131288595593e-06,0.0,1.8269930499501358e-06,0.0
Flavonifractor,0.7212996492406073,6.923317001112788e-10,0.02865683339100897,0.2634104658398161,0.3139373157552112
Franconibacter,0.0,6.671825030241047e-09,0.0,2.1468107587929046e-05,0.0
Fretibacterium,0.00012139531816400781,0.002034993139361078,0.0,0.001335948427292429,0.0005768413479885269
Frigoribacterium,6.3172305808726724e-06,0.0,0.0,0.0,0.0
Fusicatenibacter,0.13239066763784105,0.015265290309598249,0.0002538478479867673,0.0,6.402118206358758
Fusobacterium,0.2264351032024826,0.03378668509567301,0.0,0.15043382021355997,0.0
Gardnerella,1.3816608689536722e-06,0.07594546951610837,0.0005080460396123975,6.907586756161464e-05,0.00015779522204041496
Gemella,0.00040473345248897424,0.002193067738954033,0.008798801467652604,0.04716830969302696,0.010380859671139839
Gemmiger,0.012800351768023304,0.05034210842799867,0.0024938421057500047,0.0,0.6755641242387868
Gluconobacter,0.0,0.0,2.807292193307991e-10,2.1656106958277477e-06,0.0
Glutamicibacter,0.0,8.190461878564927e-07,0.0,0.0,0.0
Gordonia,0.0,0.0,0.0,1.915445121997366e-05,0.0
Gordonibacter,0.0028475857779078927,7.001547605038689e-12,0.13206840216094387,0.0056888909885980865,0.22358618637943647
Granulicatella,0.00012921721028643217,3.490764913249468e-05,0.0,0.0004227600436987888,7.125448653733539e-06
Haemophilus,0.04252911447858885,0.06439203734500812,0.001499119817474616,0.8768057644878626,0.04201065761362396
Hafnia,0.004994203577733612,0.0032284377808781267,0.0,0.31559077936912416,0.0023891962873024814
Halomonas,6.921006558998176e-06,0.0,0.0,4.569529674009117e-06,9.129062696532721e-16
Harryflintia,0.0036708671519743857,0.0,0.0,0.002454345720113016,0.0015026812771930663
Helicobacter,0.00012348461289906303,0.015714563187881402,4.240025409013109e-05,0.0012099469755957571,1.0105526539432501e-14
Holdemanella,9.641240411155554e-05,0.09607074345104565,0.0026935341593628467,0.0,0.7455743029536092
Holdemania,0.021014342433747963,1.3668890614382663e-05,0.0,0.0,0.022752578669206266
Hungatella,0.052660747309228845,0.0,0.0002852845500509568,0.256865878704309,0.007169044558416725
Hydrogenibacillus,0.0,1.0995273247638205e-06,0.0,0.0,1.0360328215187188e-05
Hydrogenophilus,0.0,8.269629454681299e-05,0.0,0.0,0.0
Intestinibacter,0.002442551645257474,0.0009219826316820871,0.031351975688841724,0.06848623864529962,0.2935106265047088
Intestinimonas,0.12521751713337037,5.4413651131296514e-05,4.810173222124347e-13,0.0,0.028601997454080822
Janibacter,0.0,0.0,0.0,0.0,0.0
Jonquetella,0.0,0.003766244090521463,0.0,8.415346530177498e-05,0.0
Kingella,0.0,0.0,0.0,2.1685890270841266e-05,0.0
Klebsiella,0.0,1.1914014796221658e-05,3.5573429951223195e-16,10.416888021213914,0.0
Kluyvera,7.166795572881138e-05,0.0013798900211400155,6.797385044240004e-14,0.02022780881495632,0.00012749830526456358
Kocuria,4.614924328589275e-05,4.379262243646163e-12,0.0,0.007796418628309613,0.0
Kosakonia,1.2955869745763298e-05,1.8935578215031183e-09,0.0,0.00897754249403614,0.0017302019481529542
Kurthia,0.0,9.769309369482832e-06,0.0,0.0,0.0
Kytococcus,0.0,7.578581874449127e-06,0.0,0.0,0.0
